1470156560305: 	acted on	innerText
1470156560449: 	sub-instrument	start	draw	true
1470156583705: 	draw	content	{"x":809,"y":417}
1470156583713: 	draw	content	{"x":808,"y":420}
1470156583721: 	draw	content	{"x":807,"y":424}
1470156583730: 	draw	content	{"x":805,"y":428}
1470156583738: 	draw	content	{"x":802,"y":433}
1470156583746: 	draw	content	{"x":800,"y":438}
1470156583756: 	draw	content	{"x":797,"y":443}
1470156585332: 	acted on	innerText
1470156585429: 	sub-instrument	stop	draw	false
1470156585438: 	deactivate	draw
1470156671945: 	acted on	sample
1470156674693: 	acted on	draw
1470156675442: 	acted on	menu
1470156676642: 	acted on	innerText
1470156676833: 	sub-instrument	start	draw	true
1470156676849: 	activate	draw
1470156677765: 	draw	content	{"x":114,"y":454}
1470156678564: 	draw	content	{"x":90,"y":492}
1470156679148: 	draw	content	{"x":80,"y":469}
1470156679957: 	draw	content	{"x":1079,"y":518}
1470156680960: 	draw	content	{"x":1094,"y":522}
1470156682419: 	draw	content	{"x":1133,"y":573}
1470156683340: 	draw	content	{"x":529,"y":558}
1470156683379: 	draw	content	{"x":530,"y":559}
1470156683394: 	draw	content	{"x":530,"y":560}
1470156683419: 	draw	content	{"x":530,"y":561}
1470156684174: 	draw	content	{"x":824,"y":265}
1470156685496: 	draw	content	{"x":644,"y":547}
1470156685604: 	draw	content	{"x":639,"y":563}
1470156685611: 	draw	content	{"x":638,"y":564}
1470156685619: 	draw	content	{"x":637,"y":566}
1470156685628: 	draw	content	{"x":636,"y":568}
1470156685636: 	draw	content	{"x":635,"y":570}
1470156685644: 	draw	content	{"x":634,"y":573}
1470156685653: 	draw	content	{"x":633,"y":575}
1470156685662: 	draw	content	{"x":632,"y":577}
1470156685669: 	draw	content	{"x":631,"y":578}
1470156685678: 	draw	content	{"x":631,"y":580}
1470156685686: 	draw	content	{"x":630,"y":586}
1470156687264: 	draw	content	{"x":1104,"y":565}
1470156690424: 	acted on	innerText
1470156690516: 	sub-instrument	stop	draw	false
1470156690525: 	deactivate	draw
1470156709683: 	acted on	menu
1470156710509: 	acted on	innerText
1470156710627: 	sub-instrument	start	draw	true
1470156710633: 	activate	draw
1470156714298: 	draw	content	{"x":586,"y":318}
1470156715705: 	draw	content	{"x":1051,"y":445}
1470156718908: 	acted on	innerText
1470156718966: 	sub-instrument	stop	draw	false
1470156718981: 	deactivate	draw
1470156782161: 	acted on	innerText
1470156782241: 	sub-instrument	start	draw	true
1470156782276: 	activate	draw
1470156783449: 	acted on	menu
1470156787515: 	acted on	innerText
1470156787607: 	sub-instrument	stop	draw	false
1470156787623: 	deactivate	draw
1470156788678: 	acted on	menu
1470156817676: 	acted on	sample
1470156818483: 	acted on	innerText
1470156818599: 	sub-instrument	start	draw	true
1470156818609: 	activate	draw
1470156822616: 	acted on	sample
1470156822997: 	draw	sample	{"x":197.48399353027344,"y":253.8260040283203}
1470156823017: 	draw	sample	{"x":181.6219940185547,"y":267.50201416015625}
1470156823083: 	draw	sample	{"x":172.7989959716797,"y":281.5669860839844}
1470156823144: 	draw	sample	{"x":142.99000549316406,"y":326.8999938964844}
1470156823194: 	draw	sample	{"x":134.45899963378906,"y":338.906005859375}
1470156823235: 	draw	sample	{"x":126.73799896240234,"y":353.7300109863281}
1470156823281: 	draw	sample	{"x":123.72699737548828,"y":363.8919982910156}
1470156823324: 	draw	sample	{"x":115.54000091552734,"y":373.114013671875}
1470156823359: 	draw	sample	{"x":108.58999633789062,"y":381.6340026855469}
1470156823388: 	draw	sample	{"x":105.39099884033203,"y":387.90399169921875}
1470156823411: 	draw	sample	{"x":104.31900024414062,"y":391.2550048828125}
1470156823437: 	draw	sample	{"x":102.24199676513672,"y":394.58099365234375}
1470156823469: 	draw	sample	{"x":101.48699951171875,"y":396.6189880371094}
1470156823511: 	draw	sample	{"x":99.80699920654297,"y":396.77099609375}
1470156823565: 	draw	sample	{"x":101.93599700927734,"y":390.93798828125}
1470156823584: 	draw	sample	{"x":103.28299713134766,"y":384.65899658203125}
1470156823611: 	draw	sample	{"x":104.75199890136719,"y":379.2139892578125}
1470156823647: 	draw	sample	{"x":111.11399841308594,"y":372.70001220703125}
1470156823668: 	draw	sample	{"x":116.93399810791016,"y":364.72601318359375}
1470156823687: 	draw	sample	{"x":119.08899688720703,"y":362.18701171875}
1470156823732: 	draw	sample	{"x":121.23500061035156,"y":358.8580017089844}
1470156823748: 	draw	sample	{"x":121.78700256347656,"y":356.2909851074219}
1470156823796: 	draw	sample	{"x":125.45700073242188,"y":348.7550048828125}
1470156823815: 	draw	sample	{"x":128.4409942626953,"y":342.9930114746094}
1470156823831: 	draw	sample	{"x":134.927001953125,"y":334.968994140625}
1470156823866: 	draw	sample	{"x":154.1230010986328,"y":307.7640075683594}
1470156823882: 	draw	sample	{"x":166.07000732421875,"y":294.17498779296875}
1470156823898: 	draw	sample	{"x":175.57200622558594,"y":282.3949890136719}
1470156823915: 	draw	sample	{"x":186.99400329589844,"y":269.9840087890625}
1470156823948: 	draw	sample	{"x":202.822998046875,"y":251.4720001220703}
1470156823965: 	draw	sample	{"x":206.90899658203125,"y":246.18800354003906}
1470156823998: 	draw	sample	{"x":211.54800415039062,"y":240.968994140625}
1470156824016: 	draw	sample	{"x":221.15199279785156,"y":232.0749969482422}
1470156824073: 	draw	sample	{"x":225.48300170898438,"y":226.8990020751953}
1470156824057: 	acted on	
1470156825042: 	acted on	
1470156826843: 	acted on	
1470156827472: 	acted on	sample
1470156827769: 	draw	sample	{"x":200.81399536132812,"y":294.8039855957031}
1470156827908: 	draw	sample	{"x":212.5800018310547,"y":285.35400390625}
1470156827920: 	draw	sample	{"x":231.52499389648438,"y":271.4840087890625}
1470156827940: 	draw	sample	{"x":243.30799865722656,"y":267.7409973144531}
1470156828015: 	draw	sample	{"x":248.5970001220703,"y":265.8219909667969}
1470156828047: 	draw	sample	{"x":262.1470031738281,"y":252.46499633789062}
1470156828066: 	draw	sample	{"x":271.0090026855469,"y":246.1999969482422}
1470156828083: 	draw	sample	{"x":273.8089904785156,"y":244.3260040283203}
1470156828105: 	draw	sample	{"x":276.79400634765625,"y":242.35299682617188}
1470156828130: 	draw	sample	{"x":278.7619934082031,"y":241.48899841308594}
1470156828173: 	draw	sample	{"x":280.5260009765625,"y":243.46600341796875}
1470156828017: 	acted on	path-1470156827771
1470156830648: 	acted on	innerText
1470156832447: 	acted on	path-1470156827771
1470156833174: 	acted on	path-1470156823000
1470156838072: 	acted on	sample
1470156838365: 	draw	sample	{"x":165.51300048828125,"y":286.8080139160156}
1470156838387: 	draw	sample	{"x":169.7030029296875,"y":275.3299865722656}
1470156838447: 	draw	sample	{"x":175.41900634765625,"y":269.0920104980469}
1470156838484: 	draw	sample	{"x":205.78399658203125,"y":238.85899353027344}
1470156838527: 	draw	sample	{"x":220.76400756835938,"y":225.23599243164062}
1470156838581: 	draw	sample	{"x":232.0970001220703,"y":213.53399658203125}
1470156838645: 	draw	sample	{"x":248.427001953125,"y":197.19900512695312}
1470156838689: 	draw	sample	{"x":257.0580139160156,"y":190.1479949951172}
1470156838711: 	draw	sample	{"x":263.114013671875,"y":186.7550048828125}
1470156838749: 	draw	sample	{"x":266.6419982910156,"y":184.05599975585938}
1470156838771: 	draw	sample	{"x":269.5320129394531,"y":181.9720001220703}
1470156838809: 	draw	sample	{"x":270.7250061035156,"y":181.343994140625}
1470156838832: 	draw	sample	{"x":274.2900085449219,"y":169.71099853515625}
1470156838869: 	draw	sample	{"x":277.197998046875,"y":167.52999877929688}
1470156838891: 	draw	sample	{"x":278.989013671875,"y":164.7259979248047}
1470156838905: 	draw	sample	{"x":281.0870056152344,"y":162.4770050048828}
1470156838945: 	draw	sample	{"x":281.9779968261719,"y":158.54800415039062}
1470156838958: 	draw	sample	{"x":286.5679931640625,"y":158.20899963378906}
1470156838979: 	draw	sample	{"x":288.572998046875,"y":157.49099731445312}
1470156839000: 	draw	sample	{"x":291.56201171875,"y":153.75399780273438}
1470156839035: 	draw	sample	{"x":295.06500244140625,"y":155.41799926757812}
1470156839054: 	draw	sample	{"x":296.22601318359375,"y":157.04299926757812}
1470156839067: 	draw	sample	{"x":297.489013671875,"y":149.19200134277344}
1470156839101: 	draw	sample	{"x":298.0570068359375,"y":145.21600341796875}
1470156839139: 	draw	sample	{"x":302.8489990234375,"y":142.5229949951172}
1470156839154: 	draw	sample	{"x":304.6319885253906,"y":140.07200622558594}
1470156839177: 	draw	sample	{"x":305.2250061035156,"y":138.53700256347656}
1470156839207: 	draw	sample	{"x":310.24798583984375,"y":136.04200744628906}
1470156839242: 	draw	sample	{"x":311.5090026855469,"y":134.8730010986328}
1470156839287: 	draw	sample	{"x":312.9939880371094,"y":134.05099487304688}
1470156843689: 	acted on	path-1470156838366
1470156849762: 	draw	content	{"x":497,"y":105}
1470156849867: 	draw	content	{"x":481,"y":100}
1470156849874: 	draw	content	{"x":479,"y":100}
1470156849882: 	draw	content	{"x":476,"y":100}
1470156849891: 	draw	content	{"x":473,"y":100}
1470156849899: 	draw	content	{"x":471,"y":101}
1470156849907: 	draw	content	{"x":468,"y":101}
1470156849916: 	draw	content	{"x":466,"y":102}
1470156849924: 	draw	content	{"x":464,"y":102}
1470156849932: 	draw	content	{"x":461,"y":103}
1470156849942: 	draw	content	{"x":459,"y":104}
1470156849950: 	draw	content	{"x":457,"y":105}
1470156849957: 	draw	content	{"x":455,"y":106}
1470156849967: 	draw	content	{"x":453,"y":108}
1470156849974: 	draw	content	{"x":451,"y":109}
1470156849982: 	draw	content	{"x":449,"y":110}
1470156849991: 	draw	content	{"x":447,"y":111}
1470156850000: 	draw	content	{"x":446,"y":112}
1470156850007: 	draw	content	{"x":444,"y":114}
1470156850017: 	draw	content	{"x":442,"y":115}
1470156850024: 	draw	content	{"x":441,"y":117}
1470156850033: 	draw	content	{"x":439,"y":118}
1470156850042: 	draw	content	{"x":437,"y":119}
1470156850049: 	draw	content	{"x":436,"y":121}
1470156850057: 	draw	content	{"x":435,"y":122}
1470156850066: 	draw	content	{"x":433,"y":124}
1470156850074: 	draw	content	{"x":431,"y":125}
1470156850082: 	draw	content	{"x":429,"y":127}
1470156850091: 	draw	content	{"x":427,"y":129}
1470156850099: 	draw	content	{"x":425,"y":130}
1470156850108: 	draw	content	{"x":423,"y":131}
1470156850116: 	draw	content	{"x":421,"y":132}
1470156850124: 	draw	content	{"x":419,"y":133}
1470156850133: 	draw	content	{"x":416,"y":134}
1470156850141: 	draw	content	{"x":413,"y":135}
1470156850149: 	draw	content	{"x":411,"y":136}
1470156850158: 	draw	content	{"x":408,"y":137}
1470156850166: 	draw	content	{"x":406,"y":137}
1470156850173: 	draw	content	{"x":403,"y":138}
1470156850183: 	draw	content	{"x":401,"y":138}
1470156850191: 	draw	content	{"x":399,"y":139}
1470156850199: 	draw	content	{"x":396,"y":139}
1470156850208: 	draw	content	{"x":394,"y":140}
1470156850216: 	draw	content	{"x":391,"y":140}
1470156850224: 	draw	content	{"x":389,"y":141}
1470156850233: 	draw	content	{"x":387,"y":141}
1470156850241: 	draw	content	{"x":384,"y":141}
1470156850249: 	draw	content	{"x":383,"y":142}
1470156850258: 	draw	content	{"x":380,"y":142}
1470156850266: 	draw	content	{"x":378,"y":143}
1470156850274: 	draw	content	{"x":376,"y":143}
1470156850283: 	draw	content	{"x":374,"y":143}
1470156850291: 	draw	content	{"x":372,"y":144}
1470156850299: 	draw	content	{"x":371,"y":144}
1470156850308: 	draw	content	{"x":369,"y":145}
1470156850316: 	draw	content	{"x":367,"y":146}
1470156850325: 	draw	content	{"x":364,"y":147}
1470156850334: 	draw	content	{"x":362,"y":149}
1470156850342: 	draw	content	{"x":360,"y":150}
1470156850349: 	draw	content	{"x":358,"y":152}
1470156850358: 	draw	content	{"x":357,"y":153}
1470156850366: 	draw	content	{"x":355,"y":155}
1470156850374: 	draw	content	{"x":353,"y":157}
1470156850384: 	draw	content	{"x":352,"y":158}
1470156850391: 	draw	content	{"x":350,"y":160}
1470156850399: 	draw	content	{"x":348,"y":163}
1470156850409: 	draw	content	{"x":347,"y":164}
1470156850416: 	draw	content	{"x":345,"y":166}
1470156850424: 	draw	content	{"x":344,"y":168}
1470156850433: 	draw	content	{"x":342,"y":170}
1470156850441: 	draw	content	{"x":340,"y":172}
1470156850449: 	draw	content	{"x":337,"y":175}
1470156850458: 	draw	content	{"x":336,"y":177}
1470156850466: 	draw	content	{"x":334,"y":179}
1470156850474: 	draw	content	{"x":332,"y":181}
1470156850483: 	draw	content	{"x":330,"y":182}
1470156850491: 	draw	content	{"x":327,"y":185}
1470156850499: 	draw	content	{"x":325,"y":187}
1470156850508: 	draw	content	{"x":321,"y":189}
1470156850517: 	draw	content	{"x":319,"y":190}
1470156850524: 	draw	content	{"x":317,"y":191}
1470156850533: 	draw	content	{"x":315,"y":192}
1470156850548: 	draw	content	{"x":312,"y":194}
1470156850553: 	draw	content	{"x":309,"y":195}
1470156850558: 	draw	content	{"x":306,"y":196}
1470156850567: 	draw	content	{"x":303,"y":198}
1470156850574: 	draw	content	{"x":300,"y":199}
1470156850583: 	draw	content	{"x":298,"y":200}
1470156850599: 	draw	content	{"x":294,"y":203}
1470156850606: 	draw	content	{"x":292,"y":204}
1470156850613: 	draw	content	{"x":289,"y":206}
1470156850620: 	draw	content	{"x":287,"y":207}
1470156850630: 	draw	content	{"x":284,"y":209}
1470156850638: 	draw	content	{"x":283,"y":211}
1470156850647: 	draw	content	{"x":280,"y":213}
1470156850658: 	draw	content	{"x":278,"y":215}
1470156850670: 	draw	content	{"x":275,"y":219}
1470156850691: 	draw	content	{"x":274,"y":220}
1470156850696: 	draw	content	{"x":273,"y":224}
1470156850704: 	draw	content	{"x":272,"y":225}
1470156850713: 	draw	content	{"x":271,"y":227}
1470156850722: 	draw	content	{"x":271,"y":228}
1470156850736: 	draw	content	{"x":271,"y":229}
1470156850742: 	draw	content	{"x":270,"y":232}
1470156850750: 	draw	content	{"x":271,"y":233}
1470156850762: 	draw	content	{"x":271,"y":235}
1470156852580: 	draw	content	{"x":533,"y":224}
1470156852758: 	draw	content	{"x":516,"y":224}
1470156852766: 	draw	content	{"x":513,"y":225}
1470156852774: 	draw	content	{"x":509,"y":228}
1470156852783: 	draw	content	{"x":506,"y":230}
1470156852791: 	draw	content	{"x":504,"y":233}
1470156852799: 	draw	content	{"x":502,"y":234}
1470156852808: 	draw	content	{"x":500,"y":237}
1470156852816: 	draw	content	{"x":498,"y":241}
1470156852824: 	draw	content	{"x":497,"y":243}
1470156852834: 	draw	content	{"x":496,"y":245}
1470156852841: 	draw	content	{"x":495,"y":247}
1470156852849: 	draw	content	{"x":494,"y":250}
1470156852858: 	draw	content	{"x":494,"y":252}
1470156852866: 	draw	content	{"x":494,"y":254}
1470156852874: 	draw	content	{"x":495,"y":256}
1470156852883: 	draw	content	{"x":495,"y":258}
1470156852891: 	draw	content	{"x":496,"y":260}
1470156852900: 	draw	content	{"x":497,"y":262}
1470156852908: 	draw	content	{"x":498,"y":264}
1470156852916: 	draw	content	{"x":500,"y":266}
1470156852924: 	draw	content	{"x":501,"y":268}
1470156852935: 	draw	content	{"x":503,"y":269}
1470156852940: 	draw	content	{"x":504,"y":271}
1470156852949: 	draw	content	{"x":505,"y":272}
1470156852958: 	draw	content	{"x":506,"y":273}
1470156852966: 	draw	content	{"x":506,"y":274}
1470156852974: 	draw	content	{"x":507,"y":277}
1470156852983: 	draw	content	{"x":506,"y":279}
1470156852990: 	draw	content	{"x":504,"y":282}
1470156852999: 	draw	content	{"x":503,"y":284}
1470156853008: 	draw	content	{"x":499,"y":288}
1470156853016: 	draw	content	{"x":494,"y":293}
1470156853025: 	draw	content	{"x":490,"y":296}
1470156853034: 	draw	content	{"x":488,"y":298}
1470156853041: 	draw	content	{"x":485,"y":302}
1470156853049: 	draw	content	{"x":482,"y":305}
1470156853058: 	draw	content	{"x":480,"y":308}
1470156853066: 	draw	content	{"x":478,"y":311}
1470156853074: 	draw	content	{"x":476,"y":313}
1470156853083: 	draw	content	{"x":475,"y":316}
1470156853091: 	draw	content	{"x":474,"y":317}
1470156853099: 	draw	content	{"x":473,"y":320}
1470156853108: 	draw	content	{"x":473,"y":321}
1470156853116: 	draw	content	{"x":472,"y":323}
1470156853124: 	draw	content	{"x":472,"y":325}
1470156853133: 	draw	content	{"x":471,"y":328}
1470156853141: 	draw	content	{"x":471,"y":330}
1470156853149: 	draw	content	{"x":472,"y":333}
1470156853158: 	draw	content	{"x":473,"y":335}
1470156853619: 	draw	content	{"x":657,"y":239}
1470156853675: 	draw	content	{"x":672,"y":237}
1470156853684: 	draw	content	{"x":676,"y":238}
1470156853691: 	draw	content	{"x":679,"y":239}
1470156853699: 	draw	content	{"x":681,"y":239}
1470156853708: 	draw	content	{"x":684,"y":241}
1470156853716: 	draw	content	{"x":685,"y":242}
1470156853724: 	draw	content	{"x":687,"y":243}
1470156853733: 	draw	content	{"x":687,"y":245}
1470156853741: 	draw	content	{"x":688,"y":247}
1470156853749: 	draw	content	{"x":688,"y":250}
1470156853758: 	draw	content	{"x":687,"y":252}
1470156853767: 	draw	content	{"x":686,"y":256}
1470156853773: 	draw	content	{"x":685,"y":258}
1470156853784: 	draw	content	{"x":683,"y":261}
1470156853791: 	draw	content	{"x":682,"y":264}
1470156853799: 	draw	content	{"x":681,"y":266}
1470156853808: 	draw	content	{"x":680,"y":270}
1470156853816: 	draw	content	{"x":679,"y":273}
1470156853824: 	draw	content	{"x":679,"y":276}
1470156853833: 	draw	content	{"x":680,"y":277}
1470156853841: 	draw	content	{"x":681,"y":279}
1470156853850: 	draw	content	{"x":683,"y":281}
1470156853859: 	draw	content	{"x":685,"y":283}
1470156853866: 	draw	content	{"x":689,"y":285}
1470156853874: 	draw	content	{"x":693,"y":286}
1470156853883: 	draw	content	{"x":697,"y":288}
1470156853892: 	draw	content	{"x":701,"y":290}
1470156853899: 	draw	content	{"x":704,"y":292}
1470156853908: 	draw	content	{"x":707,"y":294}
1470156853916: 	draw	content	{"x":710,"y":297}
1470156853923: 	draw	content	{"x":713,"y":299}
1470156853933: 	draw	content	{"x":714,"y":301}
1470156853942: 	draw	content	{"x":716,"y":303}
1470156853949: 	draw	content	{"x":717,"y":306}
1470156853958: 	draw	content	{"x":719,"y":308}
1470156853967: 	draw	content	{"x":721,"y":311}
1470156853974: 	draw	content	{"x":722,"y":312}
