1470135183247: 	acted on	innerText
1470135183349: 	sub-instrument	start	mover	true
1470135188781: 	moved	image-56	to	{"x":853,"y":176}
1470135188789: 	action	mover	image-56	{"x":854,"y":175}
1470135188790: 	moved	image-56	to	{"x":854,"y":175}
1470135188796: 	action	mover	image-56	{"x":855,"y":175}
1470135188797: 	moved	image-56	to	{"x":855,"y":175}
1470135188805: 	action	mover	image-56	{"x":855,"y":174}
1470135188806: 	moved	image-56	to	{"x":855,"y":174}
1470135188822: 	action	mover	image-56	{"x":857,"y":172}
1470135189397: 	acted on	image-65
1470135189398: 	action	mover	image-65	{"x":1121,"y":179}
1470135189399: 	start moving	image-65	from	{"x":109,"y":129}
1470135189481: 	action	mover	image-65	{"x":1112,"y":193}
1470135189482: 	moved	image-65	to	{"x":1112,"y":193}
1470135189494: 	action	mover	image-65	{"x":1110,"y":196}
1470135189495: 	moved	image-65	to	{"x":1110,"y":196}
1470135189506: 	action	mover	image-65	{"x":1104,"y":203}
1470135189507: 	moved	image-65	to	{"x":1104,"y":203}
1470135189514: 	action	mover	image-65	{"x":1102,"y":205}
1470135189530: 	action	mover	image-65	{"x":1099,"y":207}
1470135189531: 	moved	image-65	to	{"x":1099,"y":207}
1470135189538: 	action	mover	image-65	{"x":1092,"y":212}
1470135189539: 	moved	image-65	to	{"x":1092,"y":212}
1470135189549: 	action	mover	image-65	{"x":1088,"y":213}
1470135189550: 	moved	image-65	to	{"x":1088,"y":213}
1470135189556: 	action	mover	image-65	{"x":1083,"y":216}
1470135189569: 	action	mover	image-65	{"x":1079,"y":218}
1470135189570: 	moved	image-65	to	{"x":1079,"y":218}
1470135189583: 	action	mover	image-65	{"x":1069,"y":226}
1470135189584: 	moved	image-65	to	{"x":1069,"y":226}
1470135189598: 	action	mover	image-65	{"x":1058,"y":232}
1470135189599: 	moved	image-65	to	{"x":1058,"y":232}
1470135189605: 	action	mover	image-65	{"x":1052,"y":236}
1470135189607: 	moved	image-65	to	{"x":1052,"y":236}
1470135189619: 	action	mover	image-65	{"x":1047,"y":239}
1470135189621: 	moved	image-65	to	{"x":1047,"y":239}
1470135189629: 	action	mover	image-65	{"x":1035,"y":245}
1470135189630: 	moved	image-65	to	{"x":1035,"y":245}
1470135189640: 	action	mover	image-65	{"x":1030,"y":248}
1470135189641: 	moved	image-65	to	{"x":1030,"y":248}
1470135189647: 	action	mover	image-65	{"x":1025,"y":251}
1470135189648: 	moved	image-65	to	{"x":1025,"y":251}
1470135189657: 	action	mover	image-65	{"x":1019,"y":253}
1470135189658: 	moved	image-65	to	{"x":1019,"y":253}
1470135189673: 	action	mover	image-65	{"x":1009,"y":259}
1470135189679: 	moved	image-65	to	{"x":1009,"y":259}
1470135189688: 	action	mover	image-65	{"x":1001,"y":264}
1470135189689: 	moved	image-65	to	{"x":1001,"y":264}
1470135189697: 	action	mover	image-65	{"x":995,"y":267}
1470135189705: 	action	mover	image-65	{"x":989,"y":271}
1470135189713: 	action	mover	image-65	{"x":984,"y":273}
