1470135185839	2016-08-02 12-53-05.839	moved	image-51	to	{"x":494,"y":446}
1470135185847	2016-08-02 12-53-05.847	action	mover	image-51	{"x":495,"y":448}
1470135185856	2016-08-02 12-53-05.856	action	mover	image-51	{"x":495,"y":450}
1470135185863	2016-08-02 12-53-05.863	action	mover	image-51	{"x":496,"y":452}
1470135185864	2016-08-02 12-53-05.864	moved	image-51	to	{"x":496,"y":452}
1470135185872	2016-08-02 12-53-05.872	action	mover	image-51	{"x":495,"y":453}
1470135185873	2016-08-02 12-53-05.873	moved	image-51	to	{"x":495,"y":453}
1470135186539	2016-08-02 12-53-06.539	acted	on	image-21
1470135186541	2016-08-02 12-53-06.541	action	mover	image-21	{"x":162,"y":146}
1470135186542	2016-08-02 12-53-06.542	start	moving	image-21	from	{"x":121,"y":131}
1470135186606	2016-08-02 12-53-06.606	action	mover	image-21	{"x":179,"y":148}
1470135186607	2016-08-02 12-53-06.607	moved	image-21	to	{"x":179,"y":148}
1470135186613	2016-08-02 12-53-06.613	action	mover	image-21	{"x":182,"y":148}
1470135186614	2016-08-02 12-53-06.614	moved	image-21	to	{"x":182,"y":148}
1470135186622	2016-08-02 12-53-06.622	action	mover	image-21	{"x":186,"y":148}
1470135186623	2016-08-02 12-53-06.623	moved	image-21	to	{"x":186,"y":148}
1470135186631	2016-08-02 12-53-06.631	action	mover	image-21	{"x":189,"y":149}
1470135186638	2016-08-02 12-53-06.638	action	mover	image-21	{"x":194,"y":149}
1470135186639	2016-08-02 12-53-06.639	moved	image-21	to	{"x":194,"y":149}
1470135186647	2016-08-02 12-53-06.647	action	mover	image-21	{"x":198,"y":149}
1470135186656	2016-08-02 12-53-06.656	action	mover	image-21	{"x":201,"y":149}
1470135186663	2016-08-02 12-53-06.663	action	mover	image-21	{"x":204,"y":150}
1470135186664	2016-08-02 12-53-06.664	moved	image-21	to	{"x":204,"y":150}
1470135186672	2016-08-02 12-53-06.672	action	mover	image-21	{"x":207,"y":150}
1470135186673	2016-08-02 12-53-06.673	moved	image-21	to	{"x":207,"y":150}
1470135186680	2016-08-02 12-53-06.680	action	mover	image-21	{"x":212,"y":151}
1470135186681	2016-08-02 12-53-06.681	moved	image-21	to	{"x":212,"y":151}
1470135186689	2016-08-02 12-53-06.689	action	mover	image-21	{"x":216,"y":151}
1470135186697	2016-08-02 12-53-06.697	action	mover	image-21	{"x":220,"y":152}
1470135186706	2016-08-02 12-53-06.706	action	mover	image-21	{"x":223,"y":152}
1470135186713	2016-08-02 12-53-06.713	action	mover	image-21	{"x":227,"y":152}
1470135186714	2016-08-02 12-53-06.714	moved	image-21	to	{"x":227,"y":152}
1470135186722	2016-08-02 12-53-06.722	action	mover	image-21	{"x":229,"y":153}
1470135186730	2016-08-02 12-53-06.730	action	mover	image-21	{"x":234,"y":153}
1470135186731	2016-08-02 12-53-06.731	moved	image-21	to	{"x":234,"y":153}
1470135186738	2016-08-02 12-53-06.738	action	mover	image-21	{"x":237,"y":153}
1470135186739	2016-08-02 12-53-06.739	moved	image-21	to	{"x":237,"y":153}
1470135186747	2016-08-02 12-53-06.747	action	mover	image-21	{"x":242,"y":154}
1470135186748	2016-08-02 12-53-06.748	moved	image-21	to	{"x":242,"y":154}
1470135186758	2016-08-02 12-53-06.758	action	mover	image-21	{"x":244,"y":155}
1470135186764	2016-08-02 12-53-06.764	action	mover	image-21	{"x":248,"y":156}
1470135186766	2016-08-02 12-53-06.766	moved	image-21	to	{"x":248,"y":156}
1470135186772	2016-08-02 12-53-06.772	action	mover	image-21	{"x":253,"y":157}
1470135186773	2016-08-02 12-53-06.773	moved	image-21	to	{"x":253,"y":157}
1470135186780	2016-08-02 12-53-06.780	action	mover	image-21	{"x":256,"y":157}
1470135186781	2016-08-02 12-53-06.781	moved	image-21	to	{"x":256,"y":157}
1470135186789	2016-08-02 12-53-06.789	action	mover	image-21	{"x":260,"y":158}
1470135186790	2016-08-02 12-53-06.790	moved	image-21	to	{"x":260,"y":158}
1470135186797	2016-08-02 12-53-06.797	action	mover	image-21	{"x":264,"y":158}
1470135186805	2016-08-02 12-53-06.805	action	mover	image-21	{"x":268,"y":158}
1470135186806	2016-08-02 12-53-06.806	moved	image-21	to	{"x":268,"y":158}
1470135186813	2016-08-02 12-53-06.813	action	mover	image-21	{"x":271,"y":159}
1470135186814	2016-08-02 12-53-06.814	moved	image-21	to	{"x":271,"y":159}
1470135186822	2016-08-02 12-53-06.822	action	mover	image-21	{"x":275,"y":159}
1470135186831	2016-08-02 12-53-06.831	action	mover	image-21	{"x":279,"y":160}
1470135186832	2016-08-02 12-53-06.832	moved	image-21	to	{"x":279,"y":160}
1470135186838	2016-08-02 12-53-06.838	action	mover	image-21	{"x":283,"y":161}
1470135186839	2016-08-02 12-53-06.839	moved	image-21	to	{"x":283,"y":161}
1470135186847	2016-08-02 12-53-06.847	action	mover	image-21	{"x":287,"y":162}
1470135186848	2016-08-02 12-53-06.848	moved	image-21	to	{"x":287,"y":162}
1470135186855	2016-08-02 12-53-06.855	action	mover	image-21	{"x":291,"y":163}
1470135186856	2016-08-02 12-53-06.856	moved	image-21	to	{"x":291,"y":163}
1470135186863	2016-08-02 12-53-06.863	action	mover	image-21	{"x":295,"y":164}
1470135186864	2016-08-02 12-53-06.864	moved	image-21	to	{"x":295,"y":164}
1470135186872	2016-08-02 12-53-06.872	action	mover	image-21	{"x":299,"y":165}
1470135186881	2016-08-02 12-53-06.881	action	mover	image-21	{"x":303,"y":166}
1470135186882	2016-08-02 12-53-06.882	moved	image-21	to	{"x":303,"y":166}
1470135186889	2016-08-02 12-53-06.889	action	mover	image-21	{"x":308,"y":167}
1470135186890	2016-08-02 12-53-06.890	moved	image-21	to	{"x":308,"y":167}
1470135186897	2016-08-02 12-53-06.897	action	mover	image-21	{"x":312,"y":168}
1470135186898	2016-08-02 12-53-06.898	moved	image-21	to	{"x":312,"y":168}
1470135186906	2016-08-02 12-53-06.906	action	mover	image-21	{"x":315,"y":169}
1470135186914	2016-08-02 12-53-06.914	action	mover	image-21	{"x":319,"y":169}
1470135186922	2016-08-02 12-53-06.922	action	mover	image-21	{"x":324,"y":170}
1470135186934	2016-08-02 12-53-06.934	action	mover	image-21	{"x":329,"y":171}
1470135186945	2016-08-02 12-53-06.945	action	mover	image-21	{"x":333,"y":171}
1470135186946	2016-08-02 12-53-06.946	moved	image-21	to	{"x":333,"y":171}
1470135186950	2016-08-02 12-53-06.950	action	mover	image-21	{"x":338,"y":172}
1470135186956	2016-08-02 12-53-06.956	action	mover	image-21	{"x":342,"y":172}
1470135186964	2016-08-02 12-53-06.964	action	mover	image-21	{"x":346,"y":173}
1470135186965	2016-08-02 12-53-06.965	moved	image-21	to	{"x":346,"y":173}
1470135186972	2016-08-02 12-53-06.972	action	mover	image-21	{"x":350,"y":174}
1470135186973	2016-08-02 12-53-06.973	moved	image-21	to	{"x":350,"y":174}
1470135186981	2016-08-02 12-53-06.981	action	mover	image-21	{"x":355,"y":175}
1470135186989	2016-08-02 12-53-06.989	action	mover	image-21	{"x":360,"y":176}
1470135186997	2016-08-02 12-53-06.997	action	mover	image-21	{"x":363,"y":177}
1470135186998	2016-08-02 12-53-06.998	moved	image-21	to	{"x":363,"y":177}
1470135187006	2016-08-02 12-53-07.006	action	mover	image-21	{"x":368,"y":178}
1470135187007	2016-08-02 12-53-07.007	moved	image-21	to	{"x":368,"y":178}
1470135187014	2016-08-02 12-53-07.014	action	mover	image-21	{"x":371,"y":179}
1470135187015	2016-08-02 12-53-07.015	moved	image-21	to	{"x":371,"y":179}
1470135187022	2016-08-02 12-53-07.022	action	mover	image-21	{"x":375,"y":180}
1470135187023	2016-08-02 12-53-07.023	moved	image-21	to	{"x":375,"y":180}
1470135187031	2016-08-02 12-53-07.031	action	mover	image-21	{"x":379,"y":180}
1470135187039	2016-08-02 12-53-07.039	action	mover	image-21	{"x":382,"y":181}
1470135187040	2016-08-02 12-53-07.040	moved	image-21	to	{"x":382,"y":181}
1470135187047	2016-08-02 12-53-07.047	action	mover	image-21	{"x":386,"y":182}
1470135187048	2016-08-02 12-53-07.048	moved	image-21	to	{"x":386,"y":182}
1470135187056	2016-08-02 12-53-07.056	action	mover	image-21	{"x":388,"y":183}
1470135187064	2016-08-02 12-53-07.064	action	mover	image-21	{"x":392,"y":184}
1470135187072	2016-08-02 12-53-07.072	action	mover	image-21	{"x":395,"y":185}
1470135187081	2016-08-02 12-53-07.081	action	mover	image-21	{"x":397,"y":186}
1470135187089	2016-08-02 12-53-07.089	action	mover	image-21	{"x":400,"y":186}
1470135187090	2016-08-02 12-53-07.090	moved	image-21	to	{"x":400,"y":186}
1470135187097	2016-08-02 12-53-07.097	action	mover	image-21	{"x":402,"y":187}
1470135187106	2016-08-02 12-53-07.106	action	mover	image-21	{"x":404,"y":188}
1470135187113	2016-08-02 12-53-07.113	action	mover	image-21	{"x":406,"y":188}
1470135187114	2016-08-02 12-53-07.114	moved	image-21	to	{"x":406,"y":188}
1470135187122	2016-08-02 12-53-07.122	action	mover	image-21	{"x":408,"y":189}
1470135187131	2016-08-02 12-53-07.131	action	mover	image-21	{"x":409,"y":189}
1470135187132	2016-08-02 12-53-07.132	moved	image-21	to	{"x":409,"y":189}
1470135187139	2016-08-02 12-53-07.139	action	mover	image-21	{"x":410,"y":189}
1470135187140	2016-08-02 12-53-07.140	moved	image-21	to	{"x":410,"y":189}
1470135187147	2016-08-02 12-53-07.147	action	mover	image-21	{"x":411,"y":190}
1470135187148	2016-08-02 12-53-07.148	moved	image-21	to	{"x":411,"y":190}
1470135187156	2016-08-02 12-53-07.156	action	mover	image-21	{"x":412,"y":190}
1470135187157	2016-08-02 12-53-07.157	moved	image-21	to	{"x":412,"y":190}
1470135187182	2016-08-02 12-53-07.182	action	mover	image-21	{"x":413,"y":191}
1470135187183	2016-08-02 12-53-07.183	moved	image-21	to	{"x":413,"y":191}
1470135187207	2016-08-02 12-53-07.207	action	mover	image-21	{"x":414,"y":191}
1470135187223	2016-08-02 12-53-07.223	action	mover	image-21	{"x":414,"y":192}
1470135187224	2016-08-02 12-53-07.224	moved	image-21	to	{"x":414,"y":192}
1470135187281	2016-08-02 12-53-07.281	action	mover	image-21	{"x":413,"y":193}
1470135187282	2016-08-02 12-53-07.282	moved	image-21	to	{"x":413,"y":193}
1470135187447	2016-08-02 12-53-07.447	action	mover	image-21	{"x":413,"y":194}
1470135187448	2016-08-02 12-53-07.448	moved	image-21	to	{"x":413,"y":194}
