1470054677339: 	action	draw	content	{"x":66,"y":429}
1470054677357: 	action	draw	content	{"x":67,"y":429}
1470054677364: 	action	draw	content	{"x":67,"y":428}
1470054677382: 	action	draw	content	{"x":67,"y":427}
1470054677397: 	action	draw	content	{"x":68,"y":427}
1470054677422: 	action	draw	content	{"x":68,"y":426}
1470054677457: 	action	draw	content	{"x":68,"y":425}
1470054677473: 	action	draw	content	{"x":69,"y":424}
1470054677490: 	action	draw	content	{"x":69,"y":423}
1470054677507: 	action	draw	content	{"x":70,"y":422}
1470054678334: 	action	draw	content	{"x":244,"y":418}
1470054678672: 	action	draw	content	{"x":259,"y":415}
1470054678690: 	action	draw	content	{"x":260,"y":415}
1470054678699: 	action	draw	content	{"x":261,"y":415}
1470054678714: 	action	draw	content	{"x":262,"y":415}
1470054678743: 	action	draw	content	{"x":263,"y":415}
1470054678747: 	action	draw	content	{"x":264,"y":415}
1470054678764: 	action	draw	content	{"x":265,"y":415}
1470054678782: 	action	draw	content	{"x":266,"y":415}
1470054678798: 	action	draw	content	{"x":267,"y":415}
1470054678815: 	action	draw	content	{"x":268,"y":416}
1470054678832: 	action	draw	content	{"x":269,"y":416}
1470054678847: 	action	draw	content	{"x":270,"y":416}
1470054678898: 	action	draw	content	{"x":271,"y":416}
1470054678948: 	action	draw	content	{"x":271,"y":417}
1470054678982: 	action	draw	content	{"x":272,"y":417}
1470054679006: 	action	draw	content	{"x":273,"y":417}
1470054679015: 	action	draw	content	{"x":273,"y":418}
1470054679032: 	action	draw	content	{"x":274,"y":418}
1470054679056: 	action	draw	content	{"x":275,"y":418}
1470054679065: 	action	draw	content	{"x":277,"y":418}
1470054679073: 	action	draw	content	{"x":280,"y":419}
1470054679082: 	action	draw	content	{"x":281,"y":419}
1470054679090: 	action	draw	content	{"x":283,"y":418}
1470054679097: 	action	draw	content	{"x":284,"y":418}
1470054679106: 	action	draw	content	{"x":286,"y":418}
1470054679116: 	action	draw	content	{"x":287,"y":418}
1470054679123: 	action	draw	content	{"x":288,"y":418}
1470054679131: 	action	draw	content	{"x":290,"y":418}
1470054679139: 	action	draw	content	{"x":291,"y":418}
1470054679156: 	action	draw	content	{"x":292,"y":417}
1470054679172: 	action	draw	content	{"x":293,"y":417}
1470054679189: 	action	draw	content	{"x":294,"y":417}
1470054679232: 	action	draw	content	{"x":295,"y":417}
1470054679264: 	action	draw	content	{"x":296,"y":417}
1470054679282: 	action	draw	content	{"x":297,"y":417}
1470054679289: 	action	draw	content	{"x":297,"y":418}
1470054679297: 	action	draw	content	{"x":298,"y":418}
1470054679315: 	action	draw	content	{"x":299,"y":418}
1470054679332: 	action	draw	content	{"x":300,"y":418}
1470054679373: 	action	draw	content	{"x":301,"y":417}
1470054679432: 	action	draw	content	{"x":302,"y":418}
