1470054631443: 	sub-instrument	start	draw	true
1470054631474: 	activate	draw
1470054634437: 	acted on	innerText
1470054634653: 	sub-instrument	stop	draw	false
1470054634667: 	deactivate	draw
1470054635977: 	acted on	innerText
1470054636077: 	sub-instrument	start	colorPicker	true
1470054636089: 	activate	colorPicker
1470054637081: 	acted on	#00FF00
1470054637166: 	sub-instrument	#00FF00	colorPicker	true
1470054640308: 	acted on	sample
1470054640908: 	action	colorPicker	sample	{"x":161.51699829101562,"y":281.1449890136719}
1470054640925: 	changed color to	rgb(0, 0, 0)
1470054642270: 	acted on	innerText
1470054642365: 	sub-instrument	stop	colorPicker	false
1470054642369: 	deactivate	colorPicker
1470054643368: 	acted on	innerText
1470054643458: 	sub-instrument	start	draw	true
1470054643486: 	activate	draw
1470054649652: 	acted on	content
1470054651007: 	draw	content	{"x":187,"y":532}
1470054651014: 	action	draw	content	{"x":188,"y":532}
1470054651016: 	draw	content	{"x":188,"y":532}
1470054651023: 	draw	content	{"x":189,"y":532}
1470054651032: 	draw	content	{"x":190,"y":532}
1470054651040: 	draw	content	{"x":191,"y":532}
1470054651049: 	draw	content	{"x":193,"y":532}
1470054651056: 	action	draw	content	{"x":194,"y":531}
1470054651057: 	draw	content	{"x":194,"y":531}
1470054651064: 	action	draw	content	{"x":197,"y":531}
1470054651065: 	draw	content	{"x":197,"y":531}
1470054651072: 	action	draw	content	{"x":198,"y":531}
1470054651073: 	draw	content	{"x":198,"y":531}
1470054651081: 	action	draw	content	{"x":201,"y":530}
1470054651082: 	draw	content	{"x":201,"y":530}
1470054651089: 	action	draw	content	{"x":203,"y":530}
1470054651090: 	draw	content	{"x":203,"y":530}
1470054651097: 	action	draw	content	{"x":206,"y":529}
1470054651098: 	draw	content	{"x":206,"y":529}
1470054651107: 	draw	content	{"x":207,"y":529}
1470054651115: 	action	draw	content	{"x":209,"y":529}
1470054651117: 	draw	content	{"x":209,"y":529}
1470054651122: 	action	draw	content	{"x":211,"y":529}
1470054651123: 	draw	content	{"x":211,"y":529}
1470054651131: 	action	draw	content	{"x":212,"y":528}
1470054651132: 	draw	content	{"x":212,"y":528}
1470054651139: 	draw	content	{"x":214,"y":528}
1470054651147: 	action	draw	content	{"x":216,"y":528}
1470054651148: 	draw	content	{"x":216,"y":528}
1470054651157: 	draw	content	{"x":218,"y":528}
1470054651164: 	action	draw	content	{"x":219,"y":528}
1470054651165: 	draw	content	{"x":219,"y":528}
1470054651173: 	action	draw	content	{"x":221,"y":528}
1470054651174: 	draw	content	{"x":221,"y":528}
1470054651183: 	draw	content	{"x":223,"y":528}
1470054651190: 	draw	content	{"x":224,"y":528}
1470054651198: 	action	draw	content	{"x":226,"y":528}
1470054651199: 	draw	content	{"x":226,"y":528}
1470054651208: 	action	draw	content	{"x":227,"y":528}
1470054651209: 	draw	content	{"x":227,"y":528}
1470054651215: 	action	draw	content	{"x":229,"y":528}
1470054651216: 	draw	content	{"x":229,"y":528}
1470054651223: 	action	draw	content	{"x":230,"y":528}
1470054651224: 	draw	content	{"x":230,"y":528}
1470054651253: 	action	draw	content	{"x":231,"y":528}
1470054651254: 	draw	content	{"x":231,"y":528}
1470054651258: 	draw	content	{"x":234,"y":528}
1470054651262: 	action	draw	content	{"x":236,"y":528}
1470054651263: 	draw	content	{"x":236,"y":528}
1470054651268: 	draw	content	{"x":237,"y":528}
1470054651273: 	action	draw	content	{"x":239,"y":528}
1470054651274: 	draw	content	{"x":239,"y":528}
1470054651282: 	action	draw	content	{"x":240,"y":528}
1470054651283: 	draw	content	{"x":240,"y":528}
1470054651300: 	draw	content	{"x":242,"y":528}
1470054651304: 	action	draw	content	{"x":244,"y":528}
1470054651305: 	draw	content	{"x":244,"y":528}
1470054651310: 	action	draw	content	{"x":245,"y":528}
1470054651311: 	draw	content	{"x":245,"y":528}
1470054651317: 	draw	content	{"x":247,"y":528}
1470054651332: 	action	draw	content	{"x":249,"y":528}
1470054651333: 	draw	content	{"x":249,"y":528}
1470054651340: 	action	draw	content	{"x":250,"y":528}
1470054651341: 	draw	content	{"x":250,"y":528}
1470054651356: 	action	draw	content	{"x":252,"y":529}
1470054651357: 	draw	content	{"x":252,"y":529}
1470054651362: 	draw	content	{"x":253,"y":529}
1470054651368: 	action	draw	content	{"x":254,"y":529}
1470054651369: 	draw	content	{"x":254,"y":529}
1470054651376: 	draw	content	{"x":256,"y":529}
1470054651390: 	action	draw	content	{"x":257,"y":529}
1470054651391: 	draw	content	{"x":257,"y":529}
1470054651395: 	action	draw	content	{"x":260,"y":529}
1470054651396: 	draw	content	{"x":260,"y":529}
1470054651421: 	action	draw	content	{"x":261,"y":529}
1470054651422: 	draw	content	{"x":261,"y":529}
1470054651429: 	action	draw	content	{"x":263,"y":529}
1470054651430: 	draw	content	{"x":263,"y":529}
1470054651438: 	draw	content	{"x":265,"y":529}
1470054651453: 	draw	content	{"x":266,"y":529}
1470054651458: 	action	draw	content	{"x":267,"y":529}
1470054651459: 	draw	content	{"x":267,"y":529}
1470054651467: 	action	draw	content	{"x":268,"y":529}
1470054651468: 	draw	content	{"x":268,"y":529}
1470054651483: 	action	draw	content	{"x":269,"y":529}
1470054651484: 	draw	content	{"x":269,"y":529}
1470054651499: 	draw	content	{"x":270,"y":529}
1470054651509: 	draw	content	{"x":271,"y":529}
1470054651516: 	action	draw	content	{"x":272,"y":529}
1470054651517: 	draw	content	{"x":272,"y":529}
1470054651541: 	action	draw	content	{"x":273,"y":529}
1470054651544: 	draw	content	{"x":273,"y":529}
1470054651574: 	action	draw	content	{"x":274,"y":529}
1470054651575: 	draw	content	{"x":274,"y":529}
1470054651666: 	draw	content	{"x":275,"y":529}
1470054651733: 	action	draw	content	{"x":276,"y":529}
1470054651734: 	draw	content	{"x":276,"y":529}
1470054656993: 	acted on	innerText
1470054657114: 	sub-instrument	stop	draw	false
1470054657121: 	deactivate	draw
1470054657398: 	acted on	innerText
1470054657518: 	sub-instrument	start	mover	true
1470054657537: 	activate	mover
1470054659753: 	acted on	image-56
1470054659755: 	action	mover	image-56	{"x":199,"y":461}
1470054659757: 	start moving	image-56	from	{"x":110,"y":78}
1470054660408: 	acted on	image-56
1470054660409: 	action	mover	image-56	{"x":192,"y":474}
1470054660411: 	start moving	image-56	from	{"x":103,"y":91}
1470054660549: 	action	mover	image-56	{"x":192,"y":458}
1470054660550: 	moved	image-56	to	{"x":192,"y":458}
1470054660556: 	action	mover	image-56	{"x":192,"y":456}
1470054660565: 	action	mover	image-56	{"x":192,"y":454}
1470054660566: 	moved	image-56	to	{"x":192,"y":454}
1470054660573: 	action	mover	image-56	{"x":192,"y":453}
1470054660574: 	moved	image-56	to	{"x":192,"y":453}
1470054660582: 	action	mover	image-56	{"x":192,"y":451}
1470054660583: 	moved	image-56	to	{"x":192,"y":451}
1470054660599: 	action	mover	image-56	{"x":192,"y":449}
1470054660600: 	moved	image-56	to	{"x":192,"y":449}
1470054660617: 	action	mover	image-56	{"x":192,"y":448}
1470054660624: 	action	mover	image-56	{"x":191,"y":448}
1470054660625: 	moved	image-56	to	{"x":191,"y":448}
1470054660642: 	action	mover	image-56	{"x":191,"y":447}
1470054660643: 	moved	image-56	to	{"x":191,"y":447}
1470054660683: 	action	mover	image-56	{"x":191,"y":446}
1470054660684: 	moved	image-56	to	{"x":191,"y":446}
