1470049612608	2016-08-01 13-06-52.608
1470049860768	2016-08-01 13-11-00.768
1470052113098	2016-08-01 13-48-33.098
1470052236172	2016-08-01 13-50-36.172
1470052521810	2016-08-01 13-55-21.810
1470052572386	2016-08-01 13-56-12.386
1470052602458	2016-08-01 13-56-42.458
1470054569446	2016-08-01 14-29-29.446	acted	on	shapes
1470054571682	2016-08-01 14-29-31.682	acted	on	shapes
1470054631290	2016-08-01 14-30-31.290	acted	on	innerText
1470054631443	2016-08-01 14-30-31.443	sub-instrument	start	draw	true
1470054631474	2016-08-01 14-30-31.474	activate	draw
1470054634437	2016-08-01 14-30-34.437	acted	on	innerText
1470054634653	2016-08-01 14-30-34.653	sub-instrument	stop	draw	false
1470054634667	2016-08-01 14-30-34.667	deactivate	draw
1470054635977	2016-08-01 14-30-35.977	acted	on	innerText
1470054636077	2016-08-01 14-30-36.077	sub-instrument	start	colorPicker	true
1470054636089	2016-08-01 14-30-36.089	activate	colorPicker
1470054637081	2016-08-01 14-30-37.081	acted	on	#00FF00
1470054637166	2016-08-01 14-30-37.166	sub-instrument	#00FF00	colorPicker	true
1470054651300	2016-08-01 14-30-51.300	draw	content	{"x":242,"y":528}
1470054651304	2016-08-01 14-30-51.304	action	draw	content	{"x":244,"y":528}
1470054651305	2016-08-01 14-30-51.305	draw	content	{"x":244,"y":528}
1470054651310	2016-08-01 14-30-51.310	action	draw	content	{"x":245,"y":528}
1470054651311	2016-08-01 14-30-51.311	draw	content	{"x":245,"y":528}
1470054651317	2016-08-01 14-30-51.317	draw	content	{"x":247,"y":528}
1470054651332	2016-08-01 14-30-51.332	action	draw	content	{"x":249,"y":528}
1470054651333	2016-08-01 14-30-51.333	draw	content	{"x":249,"y":528}
1470054651340	2016-08-01 14-30-51.340	action	draw	content	{"x":250,"y":528}
1470054651341	2016-08-01 14-30-51.341	draw	content	{"x":250,"y":528}
1470054651356	2016-08-01 14-30-51.356	action	draw	content	{"x":252,"y":529}
1470054651357	2016-08-01 14-30-51.357	draw	content	{"x":252,"y":529}
1470054651362	2016-08-01 14-30-51.362	draw	content	{"x":253,"y":529}
1470054651368	2016-08-01 14-30-51.368	action	draw	content	{"x":254,"y":529}
1470054651369	2016-08-01 14-30-51.369	draw	content	{"x":254,"y":529}
1470054651376	2016-08-01 14-30-51.376	draw	content	{"x":256,"y":529}
1470054651390	2016-08-01 14-30-51.390	action	draw	content	{"x":257,"y":529}
1470054651391	2016-08-01 14-30-51.391	draw	content	{"x":257,"y":529}
1470054651395	2016-08-01 14-30-51.395	action	draw	content	{"x":260,"y":529}
1470054651396	2016-08-01 14-30-51.396	draw	content	{"x":260,"y":529}
1470054651421	2016-08-01 14-30-51.421	action	draw	content	{"x":261,"y":529}
1470054651422	2016-08-01 14-30-51.422	draw	content	{"x":261,"y":529}
1470054651429	2016-08-01 14-30-51.429	action	draw	content	{"x":263,"y":529}
1470054651430	2016-08-01 14-30-51.430	draw	content	{"x":263,"y":529}
1470054651438	2016-08-01 14-30-51.438	draw	content	{"x":265,"y":529}
1470054651453	2016-08-01 14-30-51.453	draw	content	{"x":266,"y":529}
1470054651458	2016-08-01 14-30-51.458	action	draw	content	{"x":267,"y":529}
1470054651459	2016-08-01 14-30-51.459	draw	content	{"x":267,"y":529}
