1470648328275: 	acted on	menu
1470648329614: 	acted on	innerText
1470648329764: 	sub-instrument	start	draw	true
1470648329766: 	activate	draw
1470648332690: 	acted on	sample
1470648348005: 	draw	image-81	{"x":24,"y":85}
1470648348047: 	draw	image-81	{"x":24,"y":84}
1470648348064: 	draw	image-81	{"x":23,"y":83}
1470648348089: 	draw	image-81	{"x":23,"y":82}
1470648348147: 	draw	image-81	{"x":23,"y":81}
1470648348197: 	draw	image-81	{"x":23,"y":80}
1470648348239: 	draw	image-81	{"x":23,"y":79}
1470648348297: 	draw	image-81	{"x":23,"y":78}
1470648348355: 	draw	image-81	{"x":23,"y":77}
1470648348397: 	draw	image-81	{"x":24,"y":77}
1470648348436: 	draw	image-81	{"x":24,"y":76}
1470648348561: 	draw	image-81	{"x":24,"y":75}
1470648348656: 	draw	image-81	{"x":25,"y":75}
1470648355330: 	draw	image-81	{"x":40,"y":78}
1470648375384: 	acted on	sample
1470648375499: 	draw	sample	{"x":50,"y":120}
1470648376306: 	acted on	sample
1470648376419: 	draw	sample	{"x":53,"y":121}
1470648376933: 	acted on	sample
1470648377047: 	draw	sample	{"x":51,"y":121}
1470648377708: 	acted on	sample
1470648385444: 	draw	image-37	{"x":35,"y":76}
1470648386365: 	draw	image-37	{"x":39,"y":61}
1470648386402: 	draw	image-37	{"x":40,"y":61}
1470648386520: 	draw	image-37	{"x":40,"y":62}
1470648386533: 	draw	image-37	{"x":40,"y":63}
1470648386565: 	draw	image-37	{"x":38,"y":66}
1470648386581: 	draw	image-37	{"x":37,"y":67}
1470648386605: 	draw	image-37	{"x":37,"y":68}
1470648386624: 	draw	image-37	{"x":36,"y":68}
1470648386641: 	draw	image-37	{"x":36,"y":69}
1470648386674: 	draw	image-37	{"x":36,"y":70}
1470648386724: 	draw	image-37	{"x":36,"y":71}
1470648386791: 	draw	image-37	{"x":36,"y":72}
1470648386831: 	draw	image-37	{"x":36,"y":73}
1470648386873: 	draw	image-37	{"x":36,"y":74}
