1470237065727: 	action	mover	image-37	{"x":287,"y":459}
1470237065728: 	moved	image-37	to	{"x":287,"y":459}
1470237065734: 	action	mover	image-37	{"x":299,"y":452}
1470237065735: 	moved	image-37	to	{"x":299,"y":452}
1470237065746: 	action	mover	image-37	{"x":307,"y":448}
1470237065747: 	moved	image-37	to	{"x":307,"y":448}
1470237065752: 	action	mover	image-37	{"x":319,"y":442}
1470237065753: 	moved	image-37	to	{"x":319,"y":442}
1470237065759: 	action	mover	image-37	{"x":330,"y":436}
1470237065760: 	moved	image-37	to	{"x":330,"y":436}
1470237065767: 	action	mover	image-37	{"x":341,"y":432}
1470237065768: 	moved	image-37	to	{"x":341,"y":432}
1470237065781: 	action	mover	image-37	{"x":351,"y":427}
1470237065782: 	moved	image-37	to	{"x":351,"y":427}
1470237065786: 	action	mover	image-37	{"x":363,"y":422}
1470237065787: 	moved	image-37	to	{"x":363,"y":422}
1470237065793: 	action	mover	image-37	{"x":374,"y":416}
1470237065801: 	action	mover	image-37	{"x":382,"y":413}
1470237065802: 	moved	image-37	to	{"x":382,"y":413}
1470237065809: 	action	mover	image-37	{"x":394,"y":408}
1470237065810: 	moved	image-37	to	{"x":394,"y":408}
1470237065818: 	action	mover	image-37	{"x":404,"y":405}
1470237065819: 	moved	image-37	to	{"x":404,"y":405}
1470237065826: 	action	mover	image-37	{"x":413,"y":400}
1470237065827: 	moved	image-37	to	{"x":413,"y":400}
1470237065835: 	action	mover	image-37	{"x":425,"y":395}
1470237065843: 	action	mover	image-37	{"x":433,"y":392}
1470237065845: 	moved	image-37	to	{"x":433,"y":392}
1470237065851: 	action	mover	image-37	{"x":446,"y":387}
1470237065852: 	moved	image-37	to	{"x":446,"y":387}
1470237065859: 	action	mover	image-37	{"x":453,"y":384}
1470237065861: 	moved	image-37	to	{"x":453,"y":384}
1470237065868: 	action	mover	image-37	{"x":466,"y":378}
1470237065877: 	action	mover	image-37	{"x":477,"y":375}
1470237065884: 	action	mover	image-37	{"x":485,"y":373}
1470237065885: 	moved	image-37	to	{"x":485,"y":373}
1470237065893: 	action	mover	image-37	{"x":496,"y":369}
1470237065894: 	moved	image-37	to	{"x":496,"y":369}
1470237065902: 	action	mover	image-37	{"x":507,"y":366}
1470237065903: 	moved	image-37	to	{"x":507,"y":366}
1470237065909: 	action	mover	image-37	{"x":514,"y":363}
1470237065910: 	moved	image-37	to	{"x":514,"y":363}
1470237065918: 	action	mover	image-37	{"x":528,"y":359}
1470237065926: 	action	mover	image-37	{"x":535,"y":356}
1470237065927: 	moved	image-37	to	{"x":535,"y":356}
1470237065934: 	action	mover	image-37	{"x":543,"y":354}
1470237065935: 	moved	image-37	to	{"x":543,"y":354}
1470237065943: 	action	mover	image-37	{"x":554,"y":352}
1470237065951: 	action	mover	image-37	{"x":563,"y":348}
1470237065961: 	action	mover	image-37	{"x":572,"y":346}
1470237065962: 	moved	image-37	to	{"x":572,"y":346}
1470237065968: 	action	mover	image-37	{"x":581,"y":344}
1470237065977: 	action	mover	image-37	{"x":591,"y":341}
1470237065978: 	moved	image-37	to	{"x":591,"y":341}
1470237065985: 	action	mover	image-37	{"x":598,"y":339}
1470237065993: 	action	mover	image-37	{"x":608,"y":336}
1470237065994: 	moved	image-37	to	{"x":608,"y":336}
1470237066001: 	action	mover	image-37	{"x":616,"y":334}
1470237066002: 	moved	image-37	to	{"x":616,"y":334}
1470237066009: 	action	mover	image-37	{"x":624,"y":332}
1470237066010: 	moved	image-37	to	{"x":624,"y":332}
1470237066018: 	action	mover	image-37	{"x":631,"y":331}
1470237066027: 	action	mover	image-37	{"x":640,"y":329}
1470237066028: 	moved	image-37	to	{"x":640,"y":329}
1470237066034: 	action	mover	image-37	{"x":651,"y":325}
1470237066035: 	moved	image-37	to	{"x":651,"y":325}
1470237066043: 	action	mover	image-37	{"x":657,"y":324}
1470237066052: 	action	mover	image-37	{"x":664,"y":322}
1470237066059: 	action	mover	image-37	{"x":671,"y":320}
1470237066060: 	moved	image-37	to	{"x":671,"y":320}
1470237066068: 	action	mover	image-37	{"x":678,"y":319}
1470237066069: 	moved	image-37	to	{"x":678,"y":319}
1470237066077: 	action	mover	image-37	{"x":684,"y":317}
1470237066085: 	action	mover	image-37	{"x":691,"y":315}
1470237066092: 	action	mover	image-37	{"x":698,"y":313}
1470237066093: 	moved	image-37	to	{"x":698,"y":313}
1470237066102: 	action	mover	image-37	{"x":704,"y":312}
1470237066103: 	moved	image-37	to	{"x":704,"y":312}
1470237066110: 	action	mover	image-37	{"x":710,"y":311}
1470237066118: 	action	mover	image-37	{"x":714,"y":309}
1470237066119: 	moved	image-37	to	{"x":714,"y":309}
1470237066126: 	action	mover	image-37	{"x":720,"y":308}
1470237066127: 	moved	image-37	to	{"x":720,"y":308}
1470237066135: 	action	mover	image-37	{"x":724,"y":307}
1470237066136: 	moved	image-37	to	{"x":724,"y":307}
1470237066142: 	action	mover	image-37	{"x":730,"y":306}
1470237066143: 	moved	image-37	to	{"x":730,"y":306}
1470237066152: 	action	mover	image-37	{"x":735,"y":305}
1470237066153: 	moved	image-37	to	{"x":735,"y":305}
1470237066160: 	action	mover	image-37	{"x":739,"y":304}
1470237066161: 	moved	image-37	to	{"x":739,"y":304}
1470237066168: 	action	mover	image-37	{"x":743,"y":303}
1470237066176: 	action	mover	image-37	{"x":749,"y":303}
1470237066177: 	moved	image-37	to	{"x":749,"y":303}
1470237066187: 	action	mover	image-37	{"x":753,"y":302}
1470237066188: 	moved	image-37	to	{"x":753,"y":302}
1470237066192: 	action	mover	image-37	{"x":757,"y":302}
1470237066193: 	moved	image-37	to	{"x":757,"y":302}
1470237066202: 	action	mover	image-37	{"x":763,"y":301}
1470237066209: 	action	mover	image-37	{"x":768,"y":300}
1470237066210: 	moved	image-37	to	{"x":768,"y":300}
1470237066218: 	action	mover	image-37	{"x":772,"y":299}
1470237066227: 	action	mover	image-37	{"x":775,"y":299}
1470237066234: 	action	mover	image-37	{"x":779,"y":298}
1470237066235: 	moved	image-37	to	{"x":779,"y":298}
1470237066243: 	action	mover	image-37	{"x":782,"y":297}
1470237066251: 	action	mover	image-37	{"x":784,"y":297}
1470237066252: 	moved	image-37	to	{"x":784,"y":297}
1470237066259: 	action	mover	image-37	{"x":785,"y":296}
1470237066268: 	action	mover	image-37	{"x":786,"y":296}
1470237066276: 	action	mover	image-37	{"x":787,"y":296}
