1470735748291: 	acted on	innerText
1470735748414: 	sub-instrument	start	mover	true
1470735767978: 	moved	image-57	to	{"x":269,"y":374}
1470735767986: 	action	mover	image-57	{"x":274,"y":370}
1470735767993: 	action	mover	image-57	{"x":278,"y":366}
1470735767994: 	moved	image-57	to	{"x":278,"y":366}
1470735768002: 	action	mover	image-57	{"x":281,"y":364}
1470735768003: 	moved	image-57	to	{"x":281,"y":364}
1470735768011: 	action	mover	image-57	{"x":285,"y":361}
1470735768012: 	moved	image-57	to	{"x":285,"y":361}
1470735768019: 	action	mover	image-57	{"x":288,"y":358}
1470735768027: 	action	mover	image-57	{"x":290,"y":356}
1470735768028: 	moved	image-57	to	{"x":290,"y":356}
1470735768036: 	action	mover	image-57	{"x":293,"y":354}
1470735768044: 	action	mover	image-57	{"x":295,"y":352}
1470735768051: 	action	mover	image-57	{"x":297,"y":350}
1470735768052: 	moved	image-57	to	{"x":297,"y":350}
1470735768061: 	action	mover	image-57	{"x":299,"y":348}
1470735768062: 	moved	image-57	to	{"x":299,"y":348}
1470735768068: 	action	mover	image-57	{"x":300,"y":346}
1470735768069: 	moved	image-57	to	{"x":300,"y":346}
1470735768077: 	action	mover	image-57	{"x":303,"y":344}
1470735768078: 	moved	image-57	to	{"x":303,"y":344}
1470735768086: 	action	mover	image-57	{"x":304,"y":343}
1470735768087: 	moved	image-57	to	{"x":304,"y":343}
1470735768093: 	action	mover	image-57	{"x":307,"y":340}
1470735768094: 	moved	image-57	to	{"x":307,"y":340}
1470735768101: 	action	mover	image-57	{"x":309,"y":338}
1470735768102: 	moved	image-57	to	{"x":309,"y":338}
1470735768111: 	action	mover	image-57	{"x":312,"y":335}
1470735768112: 	moved	image-57	to	{"x":312,"y":335}
1470735768119: 	action	mover	image-57	{"x":315,"y":332}
1470735768120: 	moved	image-57	to	{"x":315,"y":332}
1470735768127: 	action	mover	image-57	{"x":318,"y":329}
1470735768135: 	action	mover	image-57	{"x":322,"y":326}
1470735768136: 	moved	image-57	to	{"x":322,"y":326}
1470735768144: 	action	mover	image-57	{"x":326,"y":323}
1470735768151: 	action	mover	image-57	{"x":332,"y":319}
1470735768152: 	moved	image-57	to	{"x":332,"y":319}
1470735768161: 	action	mover	image-57	{"x":336,"y":315}
1470735768162: 	moved	image-57	to	{"x":336,"y":315}
1470735768169: 	action	mover	image-57	{"x":341,"y":312}
1470735768170: 	moved	image-57	to	{"x":341,"y":312}
1470735768176: 	action	mover	image-57	{"x":346,"y":308}
1470735768177: 	moved	image-57	to	{"x":346,"y":308}
1470735768186: 	action	mover	image-57	{"x":351,"y":304}
1470735768194: 	action	mover	image-57	{"x":356,"y":300}
1470735768201: 	action	mover	image-57	{"x":361,"y":297}
1470735768202: 	moved	image-57	to	{"x":361,"y":297}
1470735768210: 	action	mover	image-57	{"x":367,"y":294}
1470735768211: 	moved	image-57	to	{"x":367,"y":294}
1470735768218: 	action	mover	image-57	{"x":372,"y":290}
