1469813532941: 
1469813586784: 
1469813599281: 
1469813608163: 
1469817251052: 
1469817333088: 	acted on	outline
1469817335926: 	acted on	innerText
1469817336009: 	sub-instrument	start	mover	true
1469817336966: 	moved	image-5	to	{"x":547,"y":367}
1469817336967: 	action	mover	image-5	{"x":547,"y":367}
1469817336968: 	moved	image-5	to	{"x":547,"y":367}
1469817336969: 	action	mover	image-5	{"x":547,"y":367}
1469817336969: 	moved	image-5	to	{"x":547,"y":367}
1469817336970: 	action	mover	image-5	{"x":547,"y":367}
1469817336971: 	moved	image-5	to	{"x":547,"y":367}
1469817336982: 	action	mover	image-5	{"x":560,"y":371}
1469817336982: 	moved	image-5	to	{"x":560,"y":371}
1469817336983: 	action	mover	image-5	{"x":560,"y":371}
1469817336984: 	action	mover	image-5	{"x":560,"y":371}
1469817336984: 	moved	image-5	to	{"x":560,"y":371}
1469817336985: 	moved	image-5	to	{"x":560,"y":371}
1469817336986: 	action	mover	image-5	{"x":560,"y":371}
1469817336986: 	moved	image-5	to	{"x":560,"y":371}
1469817336998: 	action	mover	image-5	{"x":574,"y":375}
1469817336998: 	moved	image-5	to	{"x":574,"y":375}
1469817336999: 	action	mover	image-5	{"x":574,"y":375}
1469817337000: 	action	mover	image-5	{"x":574,"y":375}
1469817337000: 	moved	image-5	to	{"x":574,"y":375}
1469817337001: 	action	mover	image-5	{"x":574,"y":375}
1469817337001: 	moved	image-5	to	{"x":574,"y":375}
1469817337002: 	moved	image-5	to	{"x":574,"y":375}
1469817337015: 	action	mover	image-5	{"x":587,"y":378}
1469817337016: 	moved	image-5	to	{"x":587,"y":378}
1469817337017: 	action	mover	image-5	{"x":587,"y":378}
1469817337017: 	moved	image-5	to	{"x":587,"y":378}
1469817337018: 	action	mover	image-5	{"x":587,"y":378}
1469817337018: 	moved	image-5	to	{"x":587,"y":378}
1469817337019: 	action	mover	image-5	{"x":587,"y":378}
1469817337020: 	moved	image-5	to	{"x":587,"y":378}
1469817337030: 	action	mover	image-5	{"x":596,"y":380}
1469817337031: 	moved	image-5	to	{"x":596,"y":380}
1469817337032: 	action	mover	image-5	{"x":596,"y":380}
1469817337034: 	action	mover	image-5	{"x":596,"y":380}
