1470046547443: 	acted on	innerText
1470046547533: 	sub-instrument	start	draw	true
1470046547535: 	activate	draw
1470046550775: 	acted on	sample
1470046596773: 	draw	image-56	{"x":393.5,"y":741.5}
1470046596781: 	draw	image-56	{"x":390.5,"y":742.5}
1470046596789: 	draw	image-56	{"x":387.5,"y":742.5}
1470046596798: 	draw	image-56	{"x":386.5,"y":742.5}
1470046596806: 	draw	image-56	{"x":383.5,"y":742.5}
1470046596814: 	draw	image-56	{"x":381.5,"y":743.5}
1470046596823: 	draw	image-56	{"x":379.5,"y":743.5}
1470046596830: 	draw	image-56	{"x":378.5,"y":743.5}
1470046597190: 	draw	image-56	{"x":485.5,"y":690.5}
1470046597298: 	draw	image-56	{"x":484.5,"y":707.5}
1470046597306: 	draw	image-56	{"x":484.5,"y":711.5}
1470046597314: 	draw	image-56	{"x":484.5,"y":715.5}
1470046597323: 	draw	image-56	{"x":483.5,"y":721.5}
1470046597330: 	draw	image-56	{"x":483.5,"y":726.5}
1470046597338: 	draw	image-56	{"x":483.5,"y":729.5}
1470046597347: 	draw	image-56	{"x":483.5,"y":735.5}
1470046597356: 	draw	image-56	{"x":482.5,"y":741.5}
1470046597364: 	draw	image-56	{"x":482.5,"y":745.5}
1470046597372: 	draw	image-56	{"x":482.5,"y":749.5}
1470046597382: 	draw	image-56	{"x":482.5,"y":753.5}
1470046597389: 	draw	image-56	{"x":482.5,"y":758.5}
1470046597398: 	draw	image-56	{"x":481.5,"y":763.5}
1470046597406: 	draw	image-56	{"x":481.5,"y":765.5}
1470046597414: 	draw	image-56	{"x":480.5,"y":768.5}
1470046597423: 	draw	image-56	{"x":480.5,"y":769.5}
1470046597430: 	draw	image-56	{"x":480.5,"y":771.5}
1470046597438: 	draw	image-56	{"x":480.5,"y":772.5}
1470046597448: 	draw	image-56	{"x":479.5,"y":773.5}
1470046597456: 	draw	image-56	{"x":479.5,"y":774.5}
1470046597709: 	draw	image-56	{"x":486.5,"y":696.5}
1470046597790: 	draw	image-56	{"x":496.5,"y":709.5}
1470046597798: 	draw	image-56	{"x":499.5,"y":712.5}
1470046597807: 	draw	image-56	{"x":502.5,"y":717.5}
1470046597814: 	draw	image-56	{"x":504.5,"y":721.5}
1470046597823: 	draw	image-56	{"x":506.5,"y":725.5}
1470046597830: 	draw	image-56	{"x":509.5,"y":730.5}
1470046597838: 	draw	image-56	{"x":512.5,"y":733.5}
1470046597847: 	draw	image-56	{"x":516.5,"y":738.5}
1470046597856: 	draw	image-56	{"x":519.5,"y":743.5}
1470046597864: 	draw	image-56	{"x":522.5,"y":748.5}
1470046597873: 	draw	image-56	{"x":525.5,"y":753.5}
1470046597881: 	draw	image-56	{"x":528.5,"y":757.5}
1470046597889: 	draw	image-56	{"x":530.5,"y":761.5}
1470046597898: 	draw	image-56	{"x":531.5,"y":763.5}
1470046597907: 	draw	image-56	{"x":532.5,"y":765.5}
1470046597914: 	draw	image-56	{"x":533.5,"y":766.5}
1470046597923: 	draw	image-56	{"x":534.5,"y":766.5}
1470046597931: 	draw	image-56	{"x":534.5,"y":767.5}
1470046597964: 	draw	image-56	{"x":535.5,"y":767.5}
1470046598007: 	draw	image-56	{"x":536.5,"y":764.5}
1470046598014: 	draw	image-56	{"x":537.5,"y":761.5}
1470046598023: 	draw	image-56	{"x":537.5,"y":755.5}
1470046598031: 	draw	image-56	{"x":537.5,"y":750.5}
1470046598039: 	draw	image-56	{"x":537.5,"y":747.5}
1470046598048: 	draw	image-56	{"x":537.5,"y":742.5}
1470046598059: 	draw	image-56	{"x":537.5,"y":737.5}
1470046598073: 	draw	image-56	{"x":538.5,"y":730.5}
1470046598081: 	draw	image-56	{"x":538.5,"y":726.5}
1470046598089: 	draw	image-56	{"x":539.5,"y":723.5}
1470046598097: 	draw	image-56	{"x":540.5,"y":718.5}
1470046598106: 	draw	image-56	{"x":541.5,"y":715.5}
1470046598114: 	draw	image-56	{"x":542.5,"y":711.5}
1470046598123: 	draw	image-56	{"x":544.5,"y":707.5}
1470046598131: 	draw	image-56	{"x":545.5,"y":704.5}
1470046598140: 	draw	image-56	{"x":546.5,"y":702.5}
1470046598147: 	draw	image-56	{"x":547.5,"y":699.5}
1470046598156: 	draw	image-56	{"x":547.5,"y":698.5}
1470046598164: 	draw	image-56	{"x":548.5,"y":695.5}
