1470298983205	2016-08-04 10-23-03.205	action	mover	image-27	{"x":952,"y":419}
1470298983206	2016-08-04 10-23-03.206	moved	image-27	to	{"x":952,"y":419}
1470298983214	2016-08-04 10-23-03.214	action	mover	image-27	{"x":945,"y":418}
1470298983215	2016-08-04 10-23-03.215	moved	image-27	to	{"x":945,"y":418}
1470298983222	2016-08-04 10-23-03.222	action	mover	image-27	{"x":936,"y":417}
1470298983223	2016-08-04 10-23-03.223	moved	image-27	to	{"x":936,"y":417}
1470298983230	2016-08-04 10-23-03.230	action	mover	image-27	{"x":929,"y":416}
1470298983231	2016-08-04 10-23-03.231	moved	image-27	to	{"x":929,"y":416}
1470298983238	2016-08-04 10-23-03.238	action	mover	image-27	{"x":920,"y":415}
1470298983239	2016-08-04 10-23-03.239	moved	image-27	to	{"x":920,"y":415}
1470298983247	2016-08-04 10-23-03.247	action	mover	image-27	{"x":913,"y":414}
1470298983248	2016-08-04 10-23-03.248	moved	image-27	to	{"x":913,"y":414}
1470298983255	2016-08-04 10-23-03.255	action	mover	image-27	{"x":905,"y":413}
1470298983256	2016-08-04 10-23-03.256	moved	image-27	to	{"x":905,"y":413}
1470298983263	2016-08-04 10-23-03.263	action	mover	image-27	{"x":896,"y":412}
1470298983264	2016-08-04 10-23-03.264	moved	image-27	to	{"x":896,"y":412}
1470298983272	2016-08-04 10-23-03.272	action	mover	image-27	{"x":887,"y":411}
1470298983273	2016-08-04 10-23-03.273	moved	image-27	to	{"x":887,"y":411}
1470298983280	2016-08-04 10-23-03.280	action	mover	image-27	{"x":877,"y":410}
1470298983288	2016-08-04 10-23-03.288	action	mover	image-27	{"x":870,"y":409}
1470298983289	2016-08-04 10-23-03.289	moved	image-27	to	{"x":870,"y":409}
1470298983302	2016-08-04 10-23-03.302	action	mover	image-27	{"x":862,"y":408}
1470298983303	2016-08-04 10-23-03.303	moved	image-27	to	{"x":862,"y":408}
1470298983307	2016-08-04 10-23-03.307	action	mover	image-27	{"x":854,"y":406}
1470298983309	2016-08-04 10-23-03.309	moved	image-27	to	{"x":854,"y":406}
1470298983313	2016-08-04 10-23-03.313	action	mover	image-27	{"x":845,"y":404}
1470298983314	2016-08-04 10-23-03.314	moved	image-27	to	{"x":845,"y":404}
1470298983324	2016-08-04 10-23-03.324	action	mover	image-27	{"x":836,"y":403}
1470298983325	2016-08-04 10-23-03.325	moved	image-27	to	{"x":836,"y":403}
1470298983330	2016-08-04 10-23-03.330	action	mover	image-27	{"x":830,"y":402}
1470298983331	2016-08-04 10-23-03.331	moved	image-27	to	{"x":830,"y":402}
1470298983338	2016-08-04 10-23-03.338	action	mover	image-27	{"x":822,"y":403}
1470298983339	2016-08-04 10-23-03.339	moved	image-27	to	{"x":822,"y":403}
1470298983348	2016-08-04 10-23-03.348	action	mover	image-27	{"x":815,"y":402}
1470298983355	2016-08-04 10-23-03.355	action	mover	image-27	{"x":808,"y":402}
1470298983356	2016-08-04 10-23-03.356	moved	image-27	to	{"x":808,"y":402}
1470298983364	2016-08-04 10-23-03.364	action	mover	image-27	{"x":801,"y":402}
1470298983365	2016-08-04 10-23-03.365	moved	image-27	to	{"x":801,"y":402}
1470298983372	2016-08-04 10-23-03.372	action	mover	image-27	{"x":795,"y":402}
1470298983373	2016-08-04 10-23-03.373	moved	image-27	to	{"x":795,"y":402}
1470298983380	2016-08-04 10-23-03.380	action	mover	image-27	{"x":788,"y":402}
1470298983388	2016-08-04 10-23-03.388	action	mover	image-27	{"x":782,"y":403}
1470298983389	2016-08-04 10-23-03.389	moved	image-27	to	{"x":782,"y":403}
1470298983397	2016-08-04 10-23-03.397	action	mover	image-27	{"x":778,"y":403}
1470298983398	2016-08-04 10-23-03.398	moved	image-27	to	{"x":778,"y":403}
1470298983405	2016-08-04 10-23-03.405	action	mover	image-27	{"x":774,"y":402}
1470298983406	2016-08-04 10-23-03.406	moved	image-27	to	{"x":774,"y":402}
